AttendanceTime,IncidentGroupType,PropertyType,BoroughName,WardName,DeployedFromStationName,HourOfCall,NumStationsWithPumpsAttending,SecondPumpArrivingDeployedFromStation,LatitudeIncident,LongitudeIncident,LatitudeStation,LongitudeStation,Distance
5.08,False alarm - Good intent,Outdoor - Railway,Newham,Forest Gate North,Leytonstone,15.0,1.0,Stratford,51.5514169408,0.0344252825,51.5737161,-0.0094496,3.92
3.17,Special Service - Assistance,Outdoor - Railway trackside vegetation,Enfield,Cockfosters,Southgate,15.0,2.0,Barnet,51.6510001376,-0.147643222,51.631254,-0.127368,2.6
5.75,False alarm - Good intent,Non Residential - Retail,Kingston upon Thames,Kingston Town,Kingston,15.0,1.0,Kingston,51.4116976,-0.3047503,51.4294937,-0.3065991861142533,1.98
3.38,Fire - Secondary Fire,Outdoor - Small refuse/rubbish container,Tower Hamlets,Blackwall & Cubitt Town,Millwall,16.0,2.0,Poplar,51.5003808495,-0.0094038668,51.4977805,-0.0258476,1.17
4.08,False alarm - Good intent,Non Residential - Transport,Tower Hamlets,Canary Wharf,Millwall,22.0,2.0,Poplar,51.5035917861,-0.0194894478,51.4977805,-0.0258476,0.78
3.9,False Alarm - Automatic Fire Alarm,Residential - Children's Home,Islington,Tollington,Holloway,17.0,2.0,Kentish Town,51.5675286454,-0.1171200756,51.5670586,-0.1220408,0.34
4.65,False Alarm - Automatic Fire Alarm,Residential - Retirement/Old Persons Home,Camden,Camden Square,Holloway,20.0,2.0,Stoke Newington,51.5475560711,-0.1304230689,51.5670586,-0.1220408,2.24
7.67,False Alarm - Automatic Fire Alarm,Non Residential - Public,Camden,Regent's Park,Holloway,22.0,2.0,Islington,51.5344879,-0.1397229,51.5670586,-0.1220408,3.82
5.27,Fire - Primary Fire,Vehicle - Car,Brent,Northwick Park,Wembley,18.0,1.0,Wembley,51.563365424,-0.3280438143,51.55169655,-0.3040197283283985,2.11
6.02,Special Service - Advice,Vehicle - Other road vehicle,Richmond upon Thames,South Richmond,Richmond,18.0,2.0,Kingston,51.461477566,-0.2939151184,51.4688208,-0.2702411,1.83
4.65,Special Service - Advice,Vehicle - Train on Tube network,Richmond upon Thames,South Richmond,Richmond,19.0,2.0,Chiswick,51.4633750114,-0.3012504062,51.4688208,-0.2702411,2.23
7.02,False Alarm - Automatic Fire Alarm,Residential - Retirement/Old Persons Home,Bromley,West Wickham,Addington,18.0,2.0,Woodside,51.3751811373,-0.0147369988,51.3568869,-0.0316809,2.35
3.15,Fire - Primary Fire,Non Residential - Entertainment,Ealing,Southall West,Southall,19.0,1.0,Southall,51.5121922464,-0.3842478386,51.511274099999994,-0.3744259889421966,0.69
3.05,False alarm - Good intent,Non Residential - Entertainment,Ealing,Southall West,Southall,21.0,2.0,Southall,51.5122679205,-0.3848240555,51.511274099999994,-0.3744259889421966,0.73
7.32,Special Service - Road Traffic Collision,Vehicle - Multiple Vehicles,Ealing,Hanger Hill,Acton,21.0,2.0,Park Royal,51.5274147734,-0.2923662305,51.507054,-0.27692030618844476,2.5
3.83,Special Service - Road Traffic Collision,Vehicle - Car,Barking and Dagenham,Eastbury,Barking,21.0,2.0,Ilford,51.5357015949,0.1024211358,51.52982,0.088809,1.15
2.57,Fire - Primary Fire,Non Residential - Retail,Southwark,Camberwell Green,Peckham,23.0,2.0,New Cross,51.473981283,-0.0916683306,51.4737063,-0.0836684,0.55
